,@workoutActivityType,@duration,@durationUnit,@totalDistance,@totalDistanceUnit,@totalEnergyBurned,@totalEnergyBurnedUnit,@sourceName,@sourceVersion,@creationDate,@startDate,@endDate
190,Running,17.57384722431501,min,2.1080181304262946,km,205.52799999999982,kcal,@DivyeshBC Watch 2.0,4.3,2018-04-23 19:59:56+01:00,2018-04-23 19:36:24+01:00,2018-04-23 19:59:54+01:00
191,Running,13.41208294828733,min,1.4460934388164899,km,136.4720000000001,kcal,@DivyeshBC Watch 2.0,4.3,2018-04-24 18:14:44+01:00,2018-04-24 17:53:36+01:00,2018-04-24 18:14:41+01:00
193,Running,17.68170172572136,min,2.09398929068516,km,196.74300000000062,kcal,@DivyeshBC Watch 2.0,4.3,2018-04-25 18:42:18+01:00,2018-04-25 18:20:25+01:00,2018-04-25 18:42:16+01:00
195,Running,37.955257999897,min,3.9015925812022765,km,428.74999999999864,kcal,@DivyeshBC Watch 2.0,4.3,2018-04-28 11:08:20+01:00,2018-04-28 10:10:54+01:00,2018-04-28 11:08:16+01:00
199,Running,20.95346588095029,min,2.6235053854542785,km,221.84200000000018,kcal,@DivyeshBC Watch 2.0,4.3,2018-04-30 18:15:54+01:00,2018-04-30 17:47:22+01:00,2018-04-30 18:15:51+01:00
200,Running,18.75935433705648,min,2.428702975054504,km,216.91400000000002,kcal,@DivyeshBC Watch 2.0,4.3,2018-05-02 18:29:43+01:00,2018-05-02 18:00:18+01:00,2018-05-02 18:29:41+01:00
203,Running,21.44989850123723,min,2.652738458464155,km,235.14600000000007,kcal,@DivyeshBC Watch 2.0,4.3,2018-05-04 18:49:15+01:00,2018-05-04 18:16:51+01:00,2018-05-04 18:49:13+01:00
204,Running,26.18680955171585,min,2.815739523421507,km,257.0279999999999,kcal,@DivyeshBC Watch 2.0,4.3,2018-05-05 10:51:16+01:00,2018-05-05 10:11:45+01:00,2018-05-05 10:51:13+01:00
208,Running,17.021441620588302,min,2.080911110144807,km,185.4870000000003,kcal,@DivyeshBC Watch 2.0,4.3,2018-05-09 18:16:58+01:00,2018-05-09 17:51:41+01:00,2018-05-09 18:16:56+01:00
210,Running,30.53993959625562,min,3.631320002109743,km,369.13600000000014,kcal,@DivyeshBC Watch 2.0,4.3,2018-05-11 18:40:52+01:00,2018-05-11 17:59:54+01:00,2018-05-11 18:40:49+01:00
212,Running,35.288197366396595,min,3.8947739733750932,km,395.52499999999964,kcal,@DivyeshBC Watch 2.0,4.3,2018-05-13 09:05:56+01:00,2018-05-13 08:09:57+01:00,2018-05-13 09:05:53+01:00
214,Running,24.330754629770922,min,2.707248249322409,km,284.2359999999999,kcal,@DivyeshBC Watch 2.0,4.3,2018-05-14 17:32:38+01:00,2018-05-14 16:58:22+01:00,2018-05-14 17:32:35+01:00
216,Running,15.92774989803632,min,2.155467809022404,km,207.88600000000042,kcal,@DivyeshBC Watch 2.0,4.3,2018-05-16 18:39:41+01:00,2018-05-16 18:15:31+01:00,2018-05-16 18:39:39+01:00
218,Running,34.675113503138235,min,4.280725059529068,km,426.26499999999965,kcal,@DivyeshBC Watch 2.0,4.3,2018-05-19 09:28:02+01:00,2018-05-19 08:44:05+01:00,2018-05-19 09:27:59+01:00
220,Running,22.77213900089264,min,2.899428496160777,km,282.12000000000086,kcal,@DivyeshBC Watch 2.0,4.3,2018-05-20 18:33:51+01:00,2018-05-20 18:00:16+01:00,2018-05-20 18:33:48+01:00
221,Running,28.515673486391698,min,3.603557834943291,km,324.2500000000001,kcal,@DivyeshBC Watch 2.0,4.3,2018-05-21 18:21:28+01:00,2018-05-21 17:39:45+01:00,2018-05-21 18:21:25+01:00
223,Running,22.031820883353554,min,3.061480921988143,km,254.3790000000003,kcal,@DivyeshBC Watch 2.0,4.3,2018-05-23 18:42:57+01:00,2018-05-23 18:12:45+01:00,2018-05-23 18:42:53+01:00
225,Running,23.36607896884282,min,3.178400207722558,km,258.71499999999907,kcal,@DivyeshBC Watch 2.0,4.3,2018-05-25 18:16:23+01:00,2018-05-25 17:40:30+01:00,2018-05-25 18:16:21+01:00
226,Running,23.6961854159832,min,2.860471681960858,km,257.55300000000005,kcal,@DivyeshBC Watch 2.0,4.3,2018-05-26 11:19:28+01:00,2018-05-26 10:49:24+01:00,2018-05-26 11:19:23+01:00
227,Running,32.75686652859052,min,4.125420655565336,km,391.85700000000037,kcal,@DivyeshBC Watch 2.0,4.3,2018-05-27 19:01:43+01:00,2018-05-27 18:15:09+01:00,2018-05-27 19:01:40+01:00
229,Running,32.95213203430175,min,4.198283523222663,km,410.01700000000113,kcal,@DivyeshBC Watch 2.0,4.3,2018-05-29 18:56:30+01:00,2018-05-29 18:15:47+01:00,2018-05-29 18:56:27+01:00
230,Running,21.42395335038503,min,2.88852476201253,km,246.09099999999992,kcal,@DivyeshBC Watch 2.0,4.3,2018-05-30 18:05:23+01:00,2018-05-30 17:35:32+01:00,2018-05-30 18:05:20+01:00
232,Running,23.35646011432012,min,2.9108546776152218,km,274.54100000000005,kcal,@DivyeshBC Watch 2.0,4.3.1,2018-06-02 07:59:31+01:00,2018-06-02 07:28:47+01:00,2018-06-02 07:59:29+01:00
234,Running,21.688596751292554,min,2.350648655423894,km,224.0420000000002,kcal,@DivyeshBC Watch 2.0,4.3.1,2018-06-03 11:04:30+01:00,2018-06-03 10:34:12+01:00,2018-06-03 11:04:28+01:00
237,Running,23.69782790939013,min,2.982913951608585,km,275.80099999999993,kcal,@DivyeshBC Watch 2.0,4.3.1,2018-06-05 17:46:26+01:00,2018-06-05 17:15:05+01:00,2018-06-05 17:46:22+01:00
238,Running,19.36553549766541,min,2.0690134773503517,km,180.68799999999982,kcal,@DivyeshBC Watch 2.0,4.3.1,2018-06-06 18:28:57+01:00,2018-06-06 17:47:53+01:00,2018-06-06 18:28:54+01:00
240,Running,38.2182659804821,min,4.728950814790559,km,452.28199999999987,kcal,@DivyeshBC Watch 2.0,4.3.1,2018-06-09 10:57:55+01:00,2018-06-09 09:56:54+01:00,2018-06-09 10:57:51+01:00
